listing_id,name,host_id,host_name,host_since,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,weekly_price,monthly_price,security_deposit
7735464,Queen Anne Getaway Near Seattle!,6170760,Sam,30-04-2013,,47.63977587,-122.3722354,Apartment,Private room,2,2,1,200,,,
6291829,Grand Craftsman Home on Queen Anne,32713558,Kary,05-05-2015,,47.63602478,-122.3586936,House,Entire home/apt,10,3.5,5,700,4100,,500
9218403,Queen Anne View One Bedroom,14100483,Annie,09-04-2014,100%,47.62794034,-122.3649587,Condominium,Entire home/apt,1,1,1,110,750,2500,
4125779,Cozy Queen Anne Finished Basement,21401856,Nick,16-09-2014,100%,47.63637426,-122.3610334,House,Private room,3,1.5,1,99,568,2029,
8942678,Lovely Queen Anne home,46675077,Susanna,16-10-2015,100%,47.63563222,-122.3588809,House,Entire home/apt,8,2,4,450,3000,,
10106055,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,20-12-2015,,47.63339396,-122.3719199,House,Private room,2,1,1,75,350,,
6362362,Charming home on Queen Anne,33147763,Tracy,11-05-2015,,47.63851671,-122.369581,House,Entire home/apt,5,2.5,3,600,,,500
3544550,VIEW-Monthly Rental Available,16708587,Jill,12-06-2014,67%,47.63139735,-122.3677669,House,Entire home/apt,8,2.5,3,450,,,500
9025039,Cute Bungalow-Close to Everything!,68155,Lori,06-01-2010,100%,47.63875224,-122.3679727,House,Entire home/apt,5,1,2,150,,,250
3200646,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,30-10-2012,100%,47.63926602,-122.3747258,Camper/RV,Private room,2,1,1,45,360,,150
8859380,STUNNING VIEW of Puget Sound,3792761,Kimberly,07-10-2012,100%,47.62990712,-122.3689481,Apartment,Entire home/apt,6,2,3,300,,,500
4520099,Open Airy Queen Anne Condo,6184895,Lana,01-05-2013,71%,47.63981587,-122.3743385,Apartment,Entire home/apt,3,1,1,80,500,,
2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,21-02-2013,98%,47.63900778,-122.3653201,Apartment,Entire home/apt,4,1,1,175,1000,3200,
1110749,Queen Anne 3 bed near everything,5325329,Blair,04-03-2013,97%,47.63508504,-122.3644435,House,Entire home/apt,6,1.5,3,325,,,500
5978498,1914 Stunner View Ocean Mountain,31037494,Silvia,11-04-2015,60%,47.64063323,-122.3727094,House,Entire home/apt,4,3,3,175,699,2388,200
5021081,Seattle Queen Anne Beauty,25906186,Vacation,10-01-2015,71%,47.63812149,-122.37579,House,Entire home/apt,7,3.5,4,222,1325,4650,500
1686930,The Hideaway- Queen Anne/downtown,8916363,Paige,18-09-2013,100%,47.62981553,-122.3662123,Apartment,Entire home/apt,4,1,2,159,,,250
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,Kevin,02-08-2015,100%,47.63981019,-122.3738006,Apartment,Entire home/apt,4,1,1,125,800,2700,
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,Joe & Anna,23-05-2013,50%,47.63556952,-122.3616526,House,Entire home/apt,8,3,3,348,2500,,750
5062445,Cozy Homebase Close to Downtown,21072725,Chris,08-09-2014,31%,47.63497873,-122.3588694,House,Private room,1,1,1,45,450,1500,
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,Kevin,02-08-2015,100%,47.6393621,-122.3724026,Apartment,Entire home/apt,4,1,1,150,950,2950,
6389657,Cute little Seattle Studio!,2052160,Ruth,02-04-2012,100%,47.63461628,-122.3580227,Apartment,Entire home/apt,2,1,0,80,,,
4218733,Walker's Dream on Queen Anne Hill,21896205,Henry,28-09-2014,100%,47.63800138,-122.3610048,Apartment,Entire home/apt,4,1,1,110,,,100
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,Debera,18-08-2013,100%,47.63199585,-122.3716577,House,Entire home/apt,3,1,1,148,,,
1392332,Modern Eco-Friendly View Retreat,2315558,Holly,07-05-2012,,47.63868624,-122.3707999,House,Entire home/apt,4,1.5,2,350,2100,,500
7308567,Beautiful 1 Bedrm in Queen Anne,17597607,Nicole,03-07-2014,100%,47.63365004,-122.3604497,Apartment,Entire home/apt,3,1.5,1,150,,,
6575380,One bedroom with Lounge,34392395,Sam,27-05-2015,50%,47.63430018,-122.3570598,House,Private room,5,1,1,150,540,1911,
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,9031463,Marina,24-09-2013,50%,47.62834387,-122.3664054,Apartment,Entire home/apt,2,1,0,100,,,
9550869,Queen Anne Craftsman,12867960,Maureen,06-03-2014,90%,47.63539394,-122.3689911,Bungalow,Entire home/apt,10,3,4,349,,,
8515408,Queen Anne Hill Craftsman studio,3502513,Jennifer,07-09-2012,100%,47.63803516,-122.3609101,Bungalow,Entire home/apt,2,1,0,110,700,,
5383192,Craftsman House Near Everything,27606550,Christine,11-02-2015,,47.63933159,-122.3615994,House,Entire home/apt,4,1,1,160,1140,,100
1112092,Seattle Backyard Cottage-Queen Anne,5856339,Annie,10-04-2013,100%,47.63530805,-122.3665317,House,Entire home/apt,4,1,1,130,1000,2700,140
7772661,:: Carriage House :: Queen Anne ::,40885963,Michael,08-08-2015,100%,47.63737488,-122.3694109,House,Entire home/apt,2,1,0,99,,,
9254900,STUDIO APARTMENT WITH A VIEW,27128936,Anisa,02-02-2015,100%,47.63829757,-122.3737787,Apartment,Entire home/apt,2,1,0,100,,2000,
7714294,Top Floor Apt. W/ Spectacular View!,3521823,Elise,10-09-2012,,47.63175344,-122.3712717,Apartment,Entire home/apt,3,1,1,137,815,,
10310373,"Cozy, cute, Queen Anne living",53050379,Ana,02-01-2016,,47.63858056,-122.3753257,Apartment,Private room,3,1,1,20,,,
9368342,"Beautiful, Modern Townhouse",1039322,Manomi,30-08-2011,100%,47.63788372,-122.3673711,Townhouse,Entire home/apt,2,1.5,1,150,,,500
6361863,Located in the heart of Queen Anne,25150356,Kurt & Anna,24-12-2014,100%,47.63751735,-122.3608117,Apartment,Entire home/apt,2,1,1,145,,,100
8105221,Cozy room in Modern Queen Anne Home,15155647,Shiri,06-05-2014,70%,47.63687418,-122.3722717,Townhouse,Private room,2,1,1,80,,,
3269390,Stand alone Guest Cottage,12171359,Diane,12-02-2014,100%,47.63256274,-122.3672228,House,Entire home/apt,2,1,0,95,,,200
4566393,Beautiful West Queen Anne Craftsman,23669617,Irmela,12-11-2014,,47.63532192,-122.3661211,House,Entire home/apt,4,2.5,3,400,2100,7500,750
9282409,Bright & Airy room w/ $1M views,560743,Zachary,05-05-2011,100%,47.63263391,-122.3693184,House,Private room,2,2,1,85,450,,
8095168,Private room in upper QA w/ view!,3521823,Elise,10-09-2012,,47.63260004,-122.3699524,Apartment,Private room,2,1,1,70,,,
2746782,Suite Garage on Queen Anne,4016632,Jean-Marc,30-10-2012,100%,47.64105215,-122.3750817,Apartment,Entire home/apt,2,1,0,90,540,,150
6424982,Peaceful Queen Anne Getaway,33524725,Ruth,16-05-2015,100%,47.63140095,-122.3676901,House,Private room,2,1,1,80,,,
762029,Hand crafted Gypsy Wagon with heart,4016632,Jean-Marc,30-10-2012,100%,47.64152493,-122.3761504,Camper/RV,Private room,2,1,1,60,360,,150
8988281,Cozy 2 BR/1 BA Queen Anne Home,46954097,Nell & Andreas,19-10-2015,67%,47.6353107,-122.3635056,House,Entire home/apt,4,1,2,175,,,250
7077910,"Modern Townhouse, Heart of Ballard!",2843411,Dina,05-07-2012,100%,47.66932717,-122.3925936,House,Entire home/apt,6,2.5,3,170,1195,3195,250
3772674,Cozy Ballard Apartment,18232665,Kim,17-07-2014,100%,47.67407416,-122.3938641,Apartment,Entire home/apt,2,1,1,85,650,,
7021906,Plum Modern - 5 bdrm Tranquility,28770702,Mercy,04-03-2015,100%,47.67362807,-122.389302,House,Entire home/apt,12,3.5,5,465,3035,12140,1000
7618605,1BR-Ultra Hip Ballard-Walk to Bars!,5326074,Mckinzy,04-03-2013,100%,47.66845996,-122.379516,Apartment,Entire home/apt,2,1,1,175,,,250
10234558,Cozy BR in heart of lively Ballard,31887689,Sophia,25-04-2015,100%,47.67066232,-122.3786659,Condominium,Private room,2,1,1,50,,,
7021702,"Modern, Cozy 1 Bedroom Apartment",36805437,Brooke,26-06-2015,,47.67264618,-122.389333,Apartment,Private room,2,1,1,60,,,
7680439,Urban cottage in heart of Ballard,1612983,Andrea,16-01-2012,100%,47.67317538,-122.3822596,House,Private room,2,1,1,59,351,,
4258515,**Be in the MIDDLE OF EVERYTHING!*,841009,Lauren,19-07-2011,90%,47.667933,-122.3786525,Apartment,Private room,4,1,1,47,,,200
1148517,Cute Cottage in Sunny Ballard,6296335,Fleur,08-05-2013,100%,47.67296864,-122.3973382,House,Entire home/apt,4,1,2,145,,,100
2487892,Two blocks from downtown Ballard,1343908,Martin,27-10-2011,100%,47.66862742,-122.3894959,House,Private room,2,1,1,70,,,
3038772,"Cozy Private Room, Bath and Patio",15473800,Lisa,13-05-2014,100%,47.67011138,-122.3938693,House,Private room,2,1,1,55,,,100
699460,Ballard Artist's Studio,3587674,Patti And Benson,16-09-2012,100%,47.6716905,-122.3852391,House,Private room,4,1,1,95,,2000,
4085439,Historic Ballard House,21066328,Debra,08-09-2014,100%,47.67083618,-122.3925371,House,Private room,2,1,1,125,,,
8053990,Nautical Bedroom in Modern House,23228606,Elin,01-11-2014,100%,47.67088677,-122.3930293,House,Private room,2,1,1,65,,,
7011773,Pull out couch in garage,23228606,Elin,01-11-2014,100%,47.67011497,-122.3929944,House,Private room,1,1,1,25,,,
2467550,Tiny Ballard House Near Transit,811494,Alexis,12-07-2011,100%,47.67430793,-122.3767423,House,Entire home/apt,4,1,0,40,250,800,500
2686374,Bunkhouse Topbunk/Airstream Retreat,2231298,Chris,26-04-2012,100%,47.67125039,-122.3826391,House,Entire home/apt,6,1,3,149,1300,3950,
1956274,Sweet Ballard Apartment for Two,7466082,Vera,13-07-2013,100%,47.66869206,-122.3960894,Apartment,Entire home/apt,2,1.5,1,125,900,3750,250
8537192,Charming Old Ballard Bungalow (2/2),43954674,Brian,11-09-2015,67%,47.67180552,-122.3880471,House,Private room,2,0.5,1,55,,,
5919096,Ballard Victorian 900 sq ft apt,53050,Bob,10-11-2009,100%,47.6714184,-122.3853854,Apartment,Entire home/apt,4,1,1,129,903,,250
6516529,"One-bedroom Apartment, Ballard",3781927,Katharine,06-10-2012,,47.66874895,-122.38387,Apartment,Entire home/apt,2,1,1,100,650,2000,
3294243,Beautiful Ballard condo with view!,4970133,Paula,05-02-2013,100%,47.67268172,-122.3877307,Apartment,Entire home/apt,4,2,2,150,950,,
10210971,Bedroom & private bath in Ballard,24709547,Daniel,10-12-2014,,47.66968185,-122.3909885,Townhouse,Private room,1,1,1,50,,,500
3584790,2 Bedrm Apt in the heart of Ballard,2882219,John And Alicia,09-07-2012,100%,47.67504404,-122.3827149,Apartment,Entire home/apt,6,1,2,99,599,,200
1266459,Pretty Condo in Downtown Ballard,2317654,Dahlia,07-05-2012,100%,47.66797917,-122.3821054,Apartment,Entire home/apt,2,1.5,1,150,,,
9098059,Loft bedroom & art studio,43954674,Brian,11-09-2015,67%,47.67324985,-122.3873317,Bungalow,Entire home/apt,4,1,1,105,,,
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,30-03-2012,100%,47.67553327,-122.376324,House,Entire home/apt,7,4,3,218,1221,4200,750
4118282,"Private, clean, spacious Townhome",19071753,Julien,28-07-2014,100%,47.67570811,-122.3875594,House,Entire home/apt,5,1.5,2,80,,,200
6813483,Victorian Charm in Heart of Ballard,35674639,Beverly,13-06-2015,67%,47.67477103,-122.3858305,Apartment,Entire home/apt,2,1,1,126,945,3970,300
6590264,Modern Ballard Apt 4 Tech Travlers,24500821,Tim,04-12-2014,100%,47.66987432,-122.3877174,Apartment,Entire home/apt,4,1,1,115,750,,500
2650482,Modern family home in Old Ballard,205007,Martin And Taryn,18-08-2010,100%,47.67097576,-122.3878253,Apartment,Entire home/apt,4,2,2,225,,,
20927,Cottage in the Heart of Ballard,79450,Brad & Liz,09-02-2010,100%,47.67333939,-122.3951203,Cabin,Entire home/apt,2,1,1,89,549,,
4395578,Ballard Townhome - Pet Friendly!,430709,Sea To Sky Rentals,08-03-2011,88%,47.67100489,-122.3813814,House,Entire home/apt,8,2.5,3,225,,,
4995903,Ballard Cottage with Loft,13535511,Megan,25-03-2014,,47.67170353,-122.3763381,House,Entire home/apt,1,1,0,50,250,850,
5549211,Plum Apartment,28770702,Mercy,04-03-2015,100%,47.67175997,-122.3900201,Apartment,Entire home/apt,4,1,1,134,910,3402,200
8240758,Spacious Ballard Apt: Walk to All!,15785670,Emily,20-05-2014,,47.67481867,-122.3875212,Apartment,Entire home/apt,2,1,1,75,500,,
6856295,Pvt. Entrance Bedroom&Bath-Ballard,34872403,Pallavi,02-06-2015,90%,47.67300401,-122.3850048,House,Private room,2,1,1,65,555,1850,
6881188,Ballard Townhouse Near The Locks,33225983,Jean,12-05-2015,100%,47.67039453,-122.393897,House,Entire home/apt,6,2.5,3,375,1800,,300
1579615,"Ballard, Seattle Cozy Studio Apt.",8403307,Mario,26-08-2013,100%,47.67582152,-122.3897101,House,Entire home/apt,3,1,1,97,590,1795,100
3766866,Condo in Hip Ballard WALK,19296907,J.Lynn,01-08-2014,100%,47.67228446,-122.3823135,Condominium,Entire home/apt,2,1,1,145,900,2250,150
2406966,Renovated 2 bedroom in old Ballard,53050,Bob,10-11-2009,100%,47.67227237,-122.3841322,Apartment,Entire home/apt,5,1,2,129,903,,250
4872699,Large Home in Historical Ballard,25066447,Karen,21-12-2014,50%,47.67575024,-122.3765799,House,Entire home/apt,6,1.5,3,197,1172,,
5470629, Ballard Garden Apartment,28375755,Barbara,26-02-2015,100%,47.67260212,-122.3884415,Apartment,Entire home/apt,2,1,1,120,,,350
2950213,Entire artist's  apt in hip hood,15060417,Ginny,03-05-2014,100%,47.66676678,-122.3812427,Apartment,Entire home/apt,4,1,1,200,1500,5500,150
9015088,Spacious condo with gorgeous views,29133654,Muna,10-03-2015,100%,47.67550084,-122.3889063,Apartment,Entire home/apt,5,2,2,135,,,100
3979496,Large bright room & TV in Seattle,4807375,Jayne,22-01-2013,100%,47.67575764,-122.3787983,House,Private room,2,1,1,70,450,1800,250
7501919,Apartment in Downtown Ballard,36085516,Jennifer,17-06-2015,100%,47.66780059,-122.3883002,Apartment,Entire home/apt,2,1,1,150,,,250
4732995,Urban Oasis in the Heart of Ballard,19533935,Stephanie,05-08-2014,80%,47.66937129,-122.3762878,Apartment,Entire home/apt,3,1,1,200,,,
7134759,Master in Modern Townhouse,23228606,Elin,01-11-2014,100%,47.66896088,-122.3938769,Townhouse,Private room,2,1,1,60,,,
4532538,Classic old Ballard home,23489864,Daniel,08-11-2014,,47.67168771,-122.3925586,House,Entire home/apt,5,3,3,180,,,
7534398,Private bedroom in heart of Ballard,39472587,Kelly,24-07-2015,100%,47.67180998,-122.3834372,Apartment,Private room,3,1,1,69,350,1250,
9387189,Party Central Studio on Ballard Ave,1539790,Alianna,27-12-2011,100%,47.66502233,-122.3827968,Apartment,Entire home/apt,3,1,0,90,,,
6337492,Nice 1 bedroom apartment in Ballard,32998581,Katelynn,09-05-2015,100%,47.66898921,-122.3951453,Apartment,Entire home/apt,2,1,1,80,665,,
10231701,Private room & bath- Ballard,52580911,Karen,28-12-2015,,47.6693543,-122.3903476,Townhouse,Private room,2,1.5,1,65,,,
1609922,Cute Cozy Townhome in Old Ballard,3494510,Katie,06-09-2012,100%,47.67166568,-122.3779123,House,Entire home/apt,5,1.5,2,150,,,100
4236723,Ballard Bunkhouse - Bottom Bunk,2231298,Chris,26-04-2012,100%,47.67058142,-122.3822112,House,Entire home/apt,6,1.5,2,195,1200,4950,
7843837,Charming Ballard Apartment,19001873,Kailee,27-07-2014,50%,47.67210896,-122.3835885,Apartment,Entire home/apt,4,1,1,149,,,
3076065,Foodie Paradise near DT Seattle ,15655683,Michael,18-05-2014,100%,47.67145807,-122.3791745,House,Entire home/apt,5,3,2,224,,,600
6423204,Charming 1919 cottage in Ballard,33367198,Mark And Marti,14-05-2015,100%,47.67155977,-122.382704,House,Entire home/apt,3,1,2,115,,,200
8338849,Charming Old Ballard bungalow,43954674,Brian,11-09-2015,67%,47.67283504,-122.3874716,House,Private room,2,1,1,55,,,
6401209,Plum House - 4 bdrm Ballard luxury,28770702,Mercy,04-03-2015,100%,47.67397129,-122.3893805,House,Entire home/apt,8,2.5,4,338,2100,7000,500
20928,Victorian in the Heart of Ballard,79450,Brad & Liz,09-02-2010,100%,47.6736071,-122.3938029,House,Entire home/apt,2,1,1,79,499,,
3344977,Private room blocks to DT Ballard,16884006,Alex,17-06-2014,100%,47.66939869,-122.389254,House,Private room,2,1,1,80,500,2000,100
7604621,Heart of Ballard private room,39884676,Will,29-07-2015,100%,47.6721767,-122.3903617,Townhouse,Entire home/apt,2,1,0,85,525,,200
3303978,Private 1BR apartment with kitchen,16687781,Andrea,11-06-2014,100%,47.67349962,-122.3869636,House,Entire home/apt,2,1,1,80,530,1600,
7067082,Ballard Loft-crash pad,25171396,Heidi,24-12-2014,100%,47.66934443,-122.3865391,Loft,Private room,3,1,1,49,,,
3121829,Kid friendly townhouse near it all ,4152568,Barrie,14-11-2012,100%,47.6719218,-122.3806568,House,Entire home/apt,4,2.5,3,100,650,,300
2539881,Sunny Ballard Near Everthing,12503146,Alan,23-02-2014,100%,47.66934544,-122.3969735,Apartment,Entire home/apt,2,1,1,79,,,
3678718,Odd Lodging in the Heart of Ballard,5776729,Ballard Odd Fellows,04-04-2013,90%,47.66746398,-122.3782553,Apartment,Entire home/apt,2,1,0,75,540,1900,250
4694479,Cozy Room in Heart of Ballard,20069008,Kaiser,15-08-2014,100%,47.67181197,-122.3889813,House,Private room,2,1,1,57,550,2000,100
6646843,Sweet North Central Flat,34793330,Maya And Yoav,02-06-2015,100%,47.67082046,-122.3705111,Apartment,Entire home/apt,4,1,1,99,,,
1364440,Ballard Mid-Century Apartment Room,256203,Shannon,07-10-2010,63%,47.6637344,-122.3620801,Apartment,Private room,1,1,1,55,274,,
1781873,Fremont View Apartment,2237228,Mimi,27-04-2012,100%,47.6675968,-122.3647017,Apartment,Entire home/apt,2,1,1,96,559,1974,
4138423, Sunny Ballard Digs,129014,Rob And Molly,20-05-2010,100%,47.67053238,-122.3653185,House,Entire home/apt,4,1,1,99,,,100
5562674,Walk Ballard! Bright Basement 2Bdrm,28840161,Anna,05-03-2015,90%,47.66676677,-122.3688235,House,Entire home/apt,4,1,2,79,,,
1789341,Modern Classic~Convenient~Priv Home,3979528,Amelia & Foxy,26-10-2012,100%,47.67235398,-122.3661749,House,Entire home/apt,2,1,1,115,650,1899,200
4672934,Modern 3BR Freestanding Townhouse,19993125,Steven,14-08-2014,100%,47.66583687,-122.3701323,House,Entire home/apt,10,2.5,3,350,1500,,500
4550099,Brand-New 3BR/3BA Home w/ Roof-View,15104715,Mike & Laura,04-05-2014,,47.67433308,-122.375678,House,Entire home/apt,6,3,3,295,,,300
1198799,A Friendly Place in Ballard,6428916,Javier & Yeon,16-05-2013,100%,47.67269174,-122.3735586,House,Private room,2,1.5,1,70,420,1300,100
5308429,Entire Private Floor:Bed&Bath Suite,7849723,Brian,31-07-2013,100%,47.67529056,-122.3704741,House,Private room,2,1,1,53,400,1500,
2769088,Rooftop Olympic View 4m Sunny Loft ,5067360,Wendy,12-02-2013,33%,47.66899339,-122.3628603,House,Entire home/apt,4,1,2,110,550,,100
7603135,Ballard Bungalow,39549545,Alex,25-07-2015,,47.66879475,-122.3616125,House,Entire home/apt,4,1,2,225,1100,,
9374365,Gorgeous Townhome Private Room,6407320,Varun,15-05-2013,100%,47.67388232,-122.3746263,House,Private room,2,1.5,1,35,,,100
6106498,Home sweet home-away-from home!,31684830,Yedida,21-04-2015,100%,47.66578734,-122.3619923,House,Private room,2,1,1,55,390,,
9331449,Gorgeous Townhome Main Bdrm+Balcony,6407320,Varun,15-05-2013,100%,47.67228263,-122.3731616,Townhouse,Private room,2,1.5,1,45,,,100
8799162,Ballard studio w kitchen & bath,46108145,Mary,08-10-2015,100%,47.66835401,-122.3611388,House,Private room,2,1,1,79,,,
4317390,Comfort in Ballard/Fremont for 8!,22414188,Grace,11-10-2014,90%,47.66880846,-122.3662618,House,Entire home/apt,8,1,2,133,,,350
3884851,Large room in Ballard neighborhood ,19477023,Cindy,04-08-2014,100%,47.66832396,-122.3718212,Apartment,Private room,2,1,1,65,,,
3155785,Artists' Retro Duplex in Ballard,9484588,Kim,17-10-2013,,47.6723724,-122.3628417,Apartment,Private room,1,2,1,61,244,,
9368517,La Petite Casa Grande in Fremont,48604323,Matt And Amy,09-11-2015,100%,47.66388206,-122.3621749,House,Entire home/apt,4,2,3,200,1200,,200
5643240,Cozy 1BD in Storybook Ballard Home,12036205,Sara,07-02-2014,100%,47.67092865,-122.3667818,Apartment,Entire home/apt,2,1,1,70,400,1100,250
5042014,BALLARD ART,18413215,Emiliya,19-07-2014,100%,47.67261671,-122.3743927,House,Private room,1,1,1,52,300,1100,
7724630,Artist's Retro Duplex,26877490,Sarah,28-01-2015,,47.67271728,-122.3614171,Apartment,Private room,2,1,1,50,400,,
9449437,Gorgeous 4BR 2.5BA Townhome+Balcony,6407320,Varun,15-05-2013,100%,47.67274336,-122.3731945,Townhouse,Entire home/apt,8,2.5,4,275,,,500
3053237,Ballard 1903 Modern Cottage,11580391,Shawn,23-01-2014,100%,47.66454921,-122.3682089,House,Entire home/apt,2,1,1,149,1065,3759,100
8132347,Seattle charmer-new remodel-Ballard,3681393,Ryan,26-09-2012,88%,47.66658567,-122.3656518,House,Entire home/apt,8,2,2,199,1250,4500,150
63733,Seattle- Ballard Guestsuite -  ,311363,Irmgard,06-12-2010,100%,47.67171434,-122.3658876,Apartment,Entire home/apt,2,1,1,89,,,
2039149,Walkable Seattle 3-bedroom Home ,5325329,Blair,04-03-2013,97%,47.66686785,-122.3640313,House,Entire home/apt,10,2,3,225,,,300
227636,Large Ballard/Fremont apartment,1187351,Michael,20-09-2011,100%,47.66807053,-122.3620862,Apartment,Entire home/apt,3,1,1,120,698,2552,200
3689119,A Garden Guest House,1375021,Charlotte & Larry,06-11-2011,100%,47.67212369,-122.3650094,House,Entire home/apt,2,1,0,85,,,
1179538,Townhome Top Floor 2 Bedrms+Balcony,6407320,Varun,15-05-2013,100%,47.67358404,-122.3738143,House,Private room,4,1.5,1,80,,,200
6823781,Private Apt. Fremont/Ballard,35742272,Lisa,14-06-2015,100%,47.66337838,-122.3646915,House,Entire home/apt,3,1,1,89,536,1875,
2284536,Vintage Ballard Charm,129014,Rob And Molly,20-05-2010,100%,47.66934139,-122.3662641,House,Entire home/apt,4,1,1,99,,,100
5143441,Seattle Charm,179626,Susan,24-07-2010,100%,47.66493716,-122.3616797,Apartment,Entire home/apt,4,1,1,110,,,95
5749958,Beautiful Phinney/Ballard Retreat,3751963,Alan & Katence,03-10-2012,100%,47.66884467,-122.3683793,House,Entire home/apt,6,1,2,180,1260,,250
9116815,Cozy 2BD Apt in New Brewery Dist .,276239,Jacob And Katie,01-11-2010,100%,47.6650167,-122.3647071,Apartment,Entire home/apt,4,1,2,150,,,
7731836,"Ballard One Bedroom, lots of light!",8739320,Reese,09-09-2013,60%,47.66893752,-122.3733392,Apartment,Entire home/apt,4,1,1,70,,,
10262971,Private Floor - Modern Ballard Home,4933168,Jeff,01-02-2013,80%,47.66597002,-122.3686393,House,Private room,2,1,1,70,,,
1407502,Private garden room in hip Ballard,6136210,Nicole,28-04-2013,,47.67431327,-122.3679688,House,Private room,1,1,1,75,490,,100
8817038,Ballard Sunset View with Parking,3656709,Bryan & Mark,24-09-2012,100%,47.66520903,-122.3624565,Apartment,Entire home/apt,4,1,2,85,488,1899,100
4449303,Private Floor in Modern Townhouse,19993125,Steven,14-08-2014,100%,47.66444545,-122.370171,House,Private room,2,1,1,80,650,2300,250
8255615,Quiet Backyard Private Apartment,15178583,Jennifer,06-09-2015,100%,47.66682168,-122.3629367,Apartment,Entire home/apt,3,1,1,90,600,2000,
4053092, Private bed/bath in Ballard,9995182,India,13-11-2013,100%,47.67122243,-122.3636869,House,Private room,2,1,1,80,,,
6886633,The El Rey in Frelard,24786046,Shawn,13-12-2014,100%,47.66365549,-122.3669411,Camper/RV,Entire home/apt,2,1,0,75,525,,200
8820414,Seattle Escape - Charming 2bdrm,4855968,Emily,26-01-2013,100%,47.67548903,-122.3675145,Apartment,Entire home/apt,3,1,2,80,,,
3052151,Priv.RM Olympic View 4m Sunny Loft,5067360,Wendy,12-02-2013,33%,47.66688717,-122.3646641,House,Private room,2,1,1,70,400,,100
2339333,Spacious Home in Phinney/Ballard ,11850640,Dirk,01-02-2014,,47.67357118,-122.3642743,House,Entire home/apt,8,3.5,4,350,1950,6900,1000
